"Student_Name";"Test_Case_1 (4)";"Test_Case_2 (4)";"Test_Case_3 (4)";"Code_1 (18)";"Code_2 (-1)";"Total_Marks (30)";"Comments"
20IE10041;4;4;4;18;0;30;Clean Code~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
20AE10052;4;4;4;18;0;30;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
19MT30006;4;4;4;18;0;30;Good work!!~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
21CS10038;0;0;0;18;0;18;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 12~~~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 18/30 ##########
19CH30029;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 30 out of 30~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/30 ###########
20CS30048;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 30 out of 30~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/30 ###########
22CS30009;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10049;4;4;4;18;0;30;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 18 out of 18~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 30/30 ##########
22CS10009;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 30 out of 30~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/30 ###########
22CS30028;4;4;4;18;-1;29;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 12 out of 12~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and the code is working.~~  Mark/s obtained: 18 out of 18~~~~~~FAILED: Negative Code Case 2:~~Comments missing~~  Mark/s lost: -1 out of -1~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 29/30 ##########
