"Student_Name";"Test_Case_1 (40)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (20)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG10021;20;10;10;10;0;0;50;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~MANUALLY CHECKED ~~  Mark/s obtained: 20 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 50 ############
22CS10049;40;10;10;10;10;20;100;Good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MT10042;0;0;0;0;0;0;0;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~created structure~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~inserted data~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CS10009;0;0;0;0;0;0;0;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~created structure~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~inserted data~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22IM30014;40;10;10;10;10;20;100;Good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EE30027;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30028;40;10;10;10;10;20;100;Good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MI10032;20;10;10;10;10;20;80;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~MANUALLY CHECKED ~~  Mark/s obtained: 20 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 80 ############
22EE10008;20;10;10;10;10;20;80;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~MANUALLY CHECKED ~~  Mark/s obtained: 20 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 80 ############
22CS30008;40;10;10;10;10;20;100;Clean Code~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22IE10007;0;10;10;10;0;0;30;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22MA10021;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EE30007;40;10;10;10;10;20;100;Good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG10041;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22ME30004;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MA10059;0;10;10;10;5;0;35;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 35 ############
22CE10065;0;10;5;0;0;0;15;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~inserted data~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 15 ############
22EX10034;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EC10059;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22HS10030;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CH30005;0;0;0;0;0;0;0;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~MANUALLY CHECKED ~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~created structure~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~inserted data~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MI31006;0;10;10;5;0;0;25;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 25 ############
22MI31025;20;10;10;10;5;5;60;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~MANUALLY CHECKED ~~  Mark/s obtained: 20 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~created structure~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~inserted data~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~inifite data insert possible~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~stored in ascending order of account number~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~printed in descending order of balance~~  Mark/s obtained: 5 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22EC10079;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
