"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (20)";"Code_3 (20)";"Code_4 (10)";"Total_Marks (100)";"Comments"
#24NA10001;8;8;8;8;10;20;20;0;82;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:110~~Desired Output:~~S1 = 6105~~S2 = 449735~~S3 = 2~~~~~~Your output:~~ENTER THE NUMBER n:6105,449735~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 2: ~~INPUT:309~~Desired Output:~~S1 = 47895~~S2 = 9882335~~S3 = 12~~~~~~Your output:~~ENTER THE NUMBER n:47895,9882335~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 3: ~~INPUT:500~~Desired Output:~~S1 = 125250~~S2 = 41791750~~S3 = 5~~~~~~Your output:~~ENTER THE NUMBER n:125250,41791750~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 4: ~~INPUT:100~~Desired Output:~~S1 = 5050~~S2 = 338350~~S3 = 1~~~~~~Your output:~~ENTER THE NUMBER n:5050,338350~~~~  Mark/s obtained: 8 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Proper input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed S1 (sum of first n natural numbers)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Computed S2 (sum of squares of first n natural numbers)~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 4:~~Computed S3 (sum of digits on n)~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 82/100 ##########
24NA10002;8;8;8;8;10;20;20;0;82;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:110~~Desired Output:~~S1 = 6105~~S2 = 449735~~S3 = 2~~~~~~Your output:~~ENTER THE NUMBER n:6105,449735~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 2: ~~INPUT:309~~Desired Output:~~S1 = 47895~~S2 = 9882335~~S3 = 12~~~~~~Your output:~~ENTER THE NUMBER n:47895,9882335~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 3: ~~INPUT:500~~Desired Output:~~S1 = 125250~~S2 = 41791750~~S3 = 5~~~~~~Your output:~~ENTER THE NUMBER n:125250,41791750~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 4: ~~INPUT:100~~Desired Output:~~S1 = 5050~~S2 = 338350~~S3 = 1~~~~~~Your output:~~ENTER THE NUMBER n:5050,338350~~~~  Mark/s obtained: 8 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Proper input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed S1 (sum of first n natural numbers)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Computed S2 (sum of squares of first n natural numbers)~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 4:~~Computed S3 (sum of digits on n)~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 82/100 ##########
24NA10003;8;8;8;8;10;20;20;0;82;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:110~~Desired Output:~~S1 = 6105~~S2 = 449735~~S3 = 2~~~~~~Your output:~~Enter the number:~~ The sum of the series upto entered number is: 6105~~ ~~ The sum of squares of number upto the entered number is: 449735 ~~~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 2: ~~INPUT:309~~Desired Output:~~S1 = 47895~~S2 = 9882335~~S3 = 12~~~~~~Your output:~~Enter the number:~~ The sum of the series upto entered number is: 47895~~ ~~ The sum of squares of number upto the entered number is: 9882335 ~~~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 3: ~~INPUT:500~~Desired Output:~~S1 = 125250~~S2 = 41791750~~S3 = 5~~~~~~Your output:~~Enter the number:~~ The sum of the series upto entered number is: 125250~~ ~~ The sum of squares of number upto the entered number is: 41791750 ~~~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 4: ~~INPUT:100~~Desired Output:~~S1 = 5050~~S2 = 338350~~S3 = 1~~~~~~Your output:~~Enter the number:~~ The sum of the series upto entered number is: 5050~~ ~~ The sum of squares of number upto the entered number is: 338350 ~~~~~~  Mark/s obtained: 8 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Proper input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed S1 (sum of first n natural numbers)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Computed S2 (sum of squares of first n natural numbers)~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 4:~~Computed S3 (sum of digits on n)~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 82/100 ##########
24NA10004;8;8;8;8;10;20;20;0;82;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:110~~Desired Output:~~S1 = 6105~~S2 = 449735~~S3 = 2~~~~~~Your output:~~Enter a number6105 ~~449735 ~~21251~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 2: ~~INPUT:309~~Desired Output:~~S1 = 47895~~S2 = 9882335~~S3 = 12~~~~~~Your output:~~Enter a number47895 ~~9882335 ~~21251~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 3: ~~INPUT:500~~Desired Output:~~S1 = 125250~~S2 = 41791750~~S3 = 5~~~~~~Your output:~~Enter a number125250 ~~41791750 ~~21251~~~~  Mark/s obtained: 8 out of 10~~~~~~FAILED: Test Case 4: ~~INPUT:100~~Desired Output:~~S1 = 5050~~S2 = 338350~~S3 = 1~~~~~~Your output:~~Enter a number5050 ~~338350 ~~21251~~~~  Mark/s obtained: 8 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Proper input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed S1 (sum of first n natural numbers)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Computed S2 (sum of squares of first n natural numbers)~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 4:~~Computed S3 (sum of digits on n)~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 82/100 ##########
24NA10005;0;0;0;0;10;10;10;10;40;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Proper input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed S1 (sum of first n natural numbers)~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 3:~~Computed S2 (sum of squares of first n natural numbers)~~  Mark/s obtained: 10 out of 20~~~~~~PASSED: Code Case 4:~~Computed S3 (sum of digits on n)~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 40/100 ##########
24NA10006;10;10;10;10;10;20;20;10;100;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
24NA10007;10;10;10;10;10;20;20;10;100;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
24NA10001;10;10;10;10;10;20;20;10;100;Keep it up~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
#24NA10008;10;10;10;10;10;20;20;10;100;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
#24NA10009;10;10;10;10;10;20;20;10;100;Keep up the good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
24NA10010;10;10;10;10;10;20;20;10;100;Keep it up~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
24NA10011;10;10;10;10;10;20;20;10;100;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
24NA10012;10;10;10;10;10;20;20;10;100;Nice work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
