"Student_Name";"Test_Case_1 (40)";"Code_1 (20)";"Code_2 (20)";"Code_3 (10)";"Code_4 (10)";"Total_Marks (100)";"Comments"
22AE10002;40;20;20;10;10;100;Clean Code~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AE10022;30;20;20;10;10;90;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 30 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22AE10042;40;20;20;10;10;100;Clean Code~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AE30015;20;20;20;10;0;70;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 20 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 70 ############
22AG10009;40;20;20;10;10;100;Keep it up~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG10029;40;20;20;10;10;100;Great Job~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG10049;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30016;30;20;20;10;10;90;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 30 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22AG30036;40;20;20;10;10;100;Perfect~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22BT10007;0;20;20;10;10;60;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~alpha = 0.306~~rho = 1.2~~Rs = 6.96e8~~Ts = 1.3654e-11~~D = 1.496e11~~~~Exp OUT:~~Tp = 5.742861e-13~~~~ ~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Inputs Taken (either hardcoded or by user)~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Computed Tp~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Printed Tp~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Comments given on Tp for both cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
