"Student_Name","Test_Case_1 (20)","Test_Case_2 (20)","Code_1 (30)","Code_2 (30)","Code_3 (-5)","Code_4 (-5)","Total_Marks (100)","Comments"
21ME10100,0,0,0,0,0,0,0,"========= TEST CASES =========!!!!!!FAILED: Code didn't compile successfully!!  Mark/s obtained: 0 out of 40!!!!!!========= CODE CASES =========!!!!!!FAILED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 0 out of 30!!!!!!FAILED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 0 out of 30!!!!!!==============================!!!!############ TOTAL MARKS OBTAINED = 0 ############"
21ME10005,20,20,30,30,-5,0,95,"========= TEST CASES =========!!!!!!PASSED: Test Case 1: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 0 1 0!!Line 3: 1 1 1!!!!OUTPUT:!!Point of intersection between L1 and L2 = (0.000000, -0.000000). !!Point of intersection between L2 and L3 = (1.000000, 0.000000).!!Point of intersection between L3 and L1 = (-0.000000, 1.000000). !!Side lengths = 1.000000, 1.414214, 1.000000. !!Area = 0.500000!!!!  Mark/s obtained: 20 out of 20!!!!!!PASSED: Test Case 2: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 1 0 1!!Line 3: 1 1 1!!!!OUTPUT:!!Lines 1 and 2 are parallel so no point of intersection.!!!!  Mark/s obtained: 20 out of 20!!!!!!========= CODE CASES =========!!!!!!PASSED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 30 out of 30!!!!!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!!!!!FAILED: Negative Code Case 3:!!Comments missing, logic hard to understand!!  Mark/s lost: -5 out of -5!!!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 95 ############"
21ME30015,0,0,0,0,0,0,0,"A file was not submitted properly !!Mark/s lost: 100 out of 100!!!!!!==============================!!!!############ TOTAL MARKS OBTAINED = 0 ############"
21MA10017,0,0,10,10,0,0,20,"========= TEST CASES =========!!!!!!FAILED: Test Case 1: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 0 1 0!!Line 3: 1 1 1!!!!OUTPUT:!!Point of intersection between L1 and L2 = (0.000000, -0.000000). !!Point of intersection between L2 and L3 = (1.000000, 0.000000).!!Point of intersection between L3 and L1 = (-0.000000, 1.000000). !!Side lengths = 1.000000, 1.414214, 1.000000. !!Area = 0.500000!! !!  Mark/s obtained: 0 out of 20!!!!!!FAILED: Test Case 2: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 1 0 1!!Line 3: 1 1 1!!!!OUTPUT:!!Lines 1 and 2 are parallel so no point of intersection.!! !!  Mark/s obtained: 0 out of 20!!!!!!========= CODE CASES =========!!!!!!FAILED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 10 out of 30!!!!!!FAILED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 10 out of 30!!!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 20 ############"
21IM10011,20,20,30,30,-5,0,95,"========= TEST CASES =========!!!!!!PASSED: Test Case 1: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 0 1 0!!Line 3: 1 1 1!!!!OUTPUT:!!Point of intersection between L1 and L2 = (0.000000, -0.000000). !!Point of intersection between L2 and L3 = (1.000000, 0.000000).!!Point of intersection between L3 and L1 = (-0.000000, 1.000000). !!Side lengths = 1.000000, 1.414214, 1.000000. !!Area = 0.500000!!!!  Mark/s obtained: 20 out of 20!!!!!!PASSED: Test Case 2: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 1 0 1!!Line 3: 1 1 1!!!!OUTPUT:!!Lines 1 and 2 are parallel so no point of intersection.!!!!  Mark/s obtained: 20 out of 20!!!!!!========= CODE CASES =========!!!!!!PASSED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 30 out of 30!!!!!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!!!!!FAILED: Negative Code Case 3:!!Comments missing, logic hard to understand!!  Mark/s lost: -5 out of -5!!!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 95 ############"
21ME10024,20,0,25,30,-5,0,70,"========= TEST CASES =========!!!!!!PASSED: Test Case 1: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 0 1 0!!Line 3: 1 1 1!!!!OUTPUT:!!Point of intersection between L1 and L2 = (0.000000, -0.000000). !!Point of intersection between L2 and L3 = (1.000000, 0.000000).!!Point of intersection between L3 and L1 = (-0.000000, 1.000000). !!Side lengths = 1.000000, 1.414214, 1.000000. !!Area = 0.500000!!!!  Mark/s obtained: 20 out of 20!!!!!!FAILED: Test Case 2: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 1 0 1!!Line 3: 1 1 1!!!!OUTPUT:!!Lines 1 and 2 are parallel so no point of intersection.!! !!  Mark/s obtained: 0 out of 20!!!!!!========= CODE CASES =========!!!!!!FAILED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 25 out of 30!!!!!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!!!!!FAILED: Negative Code Case 3:!!Comments missing, logic hard to understand!!  Mark/s lost: -5 out of -5!!!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 70 ############"
21IM30007,0,0,10,10,0,0,20,"========= TEST CASES =========!!!!!!FAILED: Test Case 1: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 0 1 0!!Line 3: 1 1 1!!!!OUTPUT:!!Point of intersection between L1 and L2 = (0.000000, -0.000000). !!Point of intersection between L2 and L3 = (1.000000, 0.000000).!!Point of intersection between L3 and L1 = (-0.000000, 1.000000). !!Side lengths = 1.000000, 1.414214, 1.000000. !!Area = 0.500000!! !!  Mark/s obtained: 0 out of 20!!!!!!FAILED: Test Case 2: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 1 0 1!!Line 3: 1 1 1!!!!OUTPUT:!!Lines 1 and 2 are parallel so no point of intersection.!! !!  Mark/s obtained: 0 out of 20!!!!!!========= CODE CASES =========!!!!!!FAILED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 10 out of 30!!!!!!FAILED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 10 out of 30!!!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 20 ############"
21ME10043,0,0,10,10,0,0,20,"========= TEST CASES =========!!!!!!FAILED: Test Case 1: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 0 1 0!!Line 3: 1 1 1!!!!OUTPUT:!!Point of intersection between L1 and L2 = (0.000000, -0.000000). !!Point of intersection between L2 and L3 = (1.000000, 0.000000).!!Point of intersection between L3 and L1 = (-0.000000, 1.000000). !!Side lengths = 1.000000, 1.414214, 1.000000. !!Area = 0.500000!! !!  Mark/s obtained: 0 out of 20!!!!!!FAILED: Test Case 2: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 1 0 1!!Line 3: 1 1 1!!!!OUTPUT:!!Lines 1 and 2 are parallel so no point of intersection.!! !!  Mark/s obtained: 0 out of 20!!!!!!========= CODE CASES =========!!!!!!FAILED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 10 out of 30!!!!!!FAILED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 10 out of 30!!!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 20 ############"
21MA10036,20,20,30,30,0,0,100,"Clean Code!!!!========= TEST CASES =========!!!!!!PASSED: Test Case 1: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 0 1 0!!Line 3: 1 1 1!!!!OUTPUT:!!Point of intersection between L1 and L2 = (0.000000, -0.000000). !!Point of intersection between L2 and L3 = (1.000000, 0.000000).!!Point of intersection between L3 and L1 = (-0.000000, 1.000000). !!Side lengths = 1.000000, 1.414214, 1.000000. !!Area = 0.500000!!!!  Mark/s obtained: 20 out of 20!!!!!!PASSED: Test Case 2: !!!!INPUT:!!Enter the coefficients (a, b, c) of three lines:!!Line 1: 1 0 0!!Line 2: 1 0 1!!Line 3: 1 1 1!!!!OUTPUT:!!Lines 1 and 2 are parallel so no point of intersection.!!!!  Mark/s obtained: 20 out of 20!!!!!!========= CODE CASES =========!!!!!!PASSED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 30 out of 30!!!!!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 100 ###########"
21ME10062,0,0,0,0,0,0,0,"A file was not submitted properly !!Mark/s lost: 100 out of 100!!!!!!==============================!!!!############ TOTAL MARKS OBTAINED = 0 ############"
