"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Test_Case_5 (10)";"Code_1 (10)";"Code_2 (15)";"Code_3 (15)";"Code_4 (10)";"Code_5 (-5)";"Code_6 (-5)";"Total_Marks (100)";"Comments"
23AG10007;10;10;10;0;0;10;15;10;10;0;-5;70;========= TEST CASES =========~~~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the distance travelled:~~Enter the time travelled:~~price is:398~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the distance travelled:~~Enter the time travelled:~~price is:320~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 70/100 ##########
23EE10056;10;10;10;0;0;10;15;10;10;-5;-5;65;========= TEST CASES =========~~~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the total no. of kms travelled and the no. of hours the taxi will be retained~~Taxi fare = 398~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the total no. of kms travelled and the no. of hours the taxi will be retained~~Taxi fare = 620~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 5:~~Code not properly formatted (indentation, spacing, etc.)~~  Mark/s lost: -5 out of -5~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 65/100 ##########
23MF10023;10;10;0;0;0;10;10;10;10;0;-5;55;========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~the distane travelled by the person in kilometers ~~the time travelled by the person in hours ~~the total money should be paid is 304 ~~~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~the distane travelled by the person in kilometers ~~the time travelled by the person in hours ~~the total money should be paid is 402 ~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~the distane travelled by the person in kilometers ~~the time travelled by the person in hours ~~the total money should be paid is 520 ~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 10 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 55/100 ##########
23AG10047;0;0;0;0;0;10;10;10;10;0;-5;35;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 0~~Desired Output:~~~~Enter km and hrs: 5 0~~Fare: Rs. 20 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~23AG10047~~Vedaant Nigam~~enter kilometers travelledenter hours the taxi was retainedtotal payable money=100~~~~FAILED: Test Case 2: ~~INPUT:7 5~~Desired Output:~~~~Enter km and hrs: 7 5~~Fare: Rs. 220 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~23AG10047~~Vedaant Nigam~~enter kilometers travelledenter hours the taxi was retainedtotal payable money=340~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~23AG10047~~Vedaant Nigam~~enter kilometers travelledenter hours the taxi was retainedtotal payable money=408~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~23AG10047~~Vedaant Nigam~~enter kilometers travelledenter hours the taxi was retainedtotal payable money=538~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~23AG10047~~Vedaant Nigam~~enter kilometers travelledenter hours the taxi was retainedtotal payable money=700~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 10 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 35/100 ##########
23CS30009;10;10;10;10;10;10;15;15;10;0;0;100;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23BT10015;10;10;10;10;10;10;15;15;10;0;-2;98;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 98/100 ##########
23AE10036;10;10;10;10;0;10;15;10;10;0;-5;80;========= TEST CASES =========~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter km travelled and hrsthe taxi fare is 1120~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 80/100 ##########
23EC10066;10;10;0;0;0;10;10;10;10;0;-2;58;========= TEST CASES =========~~~~~~FAILED: Test Case 3: ~~INPUT:13 5~~Desired Output:~~~~Enter km and hrs: 13 5~~Fare: Rs. 268 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the no of kms and hours : the taxi fare is : 190~~~~FAILED: Test Case 4: ~~INPUT:17 15~~Desired Output:~~~~Enter km and hrs: 17 15~~Fare: Rs. 598 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the no of kms and hours : the taxi fare is : 290~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~enter the no of kms and hours : the taxi fare is : 220~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 10 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 10 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 58/100 ##########
23ME10044;0;10;10;10;0;10;15;14;10;0;-2;77;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 0~~Desired Output:~~~~Enter km and hrs: 5 0~~Fare: Rs. 20 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the kilometers travelled: ~~Enter the hours the taxi was retained: ~~The total fare is: 36~~~~~~FAILED: Test Case 5: ~~INPUT:5 30~~Desired Output:~~~~Enter km and hrs: 5 30~~Fare: Rs. 820 ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the kilometers travelled: ~~Enter the hours the taxi was retained: ~~The total fare is: 520~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~FAILED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 14 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -2 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 77/100 ##########
23CE10025;10;10;10;10;10;10;15;15;10;0;-5;95;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Scanf taken correctly (in the correct order)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed fare based on distance~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 3:~~Computed fare based on hours~~  Mark/s obtained: 15 out of 15~~~~~~PASSED: Code Case 4:~~Printed the total fare~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 6:~~Code logic not commented (including name and roll number)~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 95/100 ##########
