"Student_Name";"Test_Case_1 (20)";"Test_Case_2 (20)";"Code_1 (-10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (20)";"Code_6 (10)";"Total_Marks (100)";"Comments"
22AE10002;20;20;0;10;10;10;20;10;100;Keep up the good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AE10022;20;20;0;10;10;10;20;10;100;Perfect~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AE10042;20;20;0;10;10;10;20;10;100;Clean Code~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AE30015;0;0;0;0;5;0;0;10;15;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 0 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 15 ############
22AG10009;20;20;0;10;10;10;20;10;100;Nice work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG10049;5;5;0;0;0;5;10;5;30;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the number of students: 2~~~~Enter the marks for student 1:~~  Attendence [40]: 20~~  CT [20]: 10~~  Midsem [60]: 30~~  Endsem [100]: 50~~~~Enter the marks for student 2:~~  Attendence [40]: 40~~  CT [20]: 20~~  Midsem [60]: 60~~  Endsem [100]: 100~~~~~~Exp OUT:~~~~Student 1~~  Total marks: 50.00~~  Grade: D~~~~Student 2~~  Total marks: 100.00~~  Grade: EX~~~~ ~~  Mark/s obtained: 5 out of 20~~~~~~Your output:~~enter your attendace marks:~~attendance marks-2.000000~~enter your class test marks:~~class test marks-20.000000~~enter your midsem marks:~~midsem marks-10.000000~~enter your end sem marks:~~end sem marks-30.000000~~ex~~enter your attendace marks:~~attendance marks-50.000000~~enter your class test marks:~~class test marks-40.000000~~enter your midsem marks:~~midsem marks-20.000000~~enter your end sem marks:~~end sem marks-60.000000~~ex~~enter your attendace marks:~~attendance marks-100.000000~~e...~~~~FAILED: Test Case 2: ~~IN:~~Enter the number of students: 1~~~~Enter the marks for student 1:~~  Attendence [40]: 10~~  CT [20]: 5 ~~  Midsem [60]: 10~~  Endsem [100]: 10~~~~Exp OUT:~~Student 1~~  Total marks: 16.50~~  Grade: F~~~~ ~~  Mark/s obtained: 5 out of 20~~~~~~Your output:~~enter your attendace marks:~~attendance marks-1.000000~~enter your class test marks:~~class test marks-10.000000~~enter your midsem marks:~~midsem marks-5.000000~~enter your end sem marks:~~end sem marks-10.000000~~ex~~enter your attendace marks:~~attendance marks-10.000000~~enter your class test marks:~~class test marks-10.000000~~enter your midsem marks:~~midsem marks-5.000000~~enter your end sem marks:~~end sem marks-10.000000~~ex~~enter your attendace marks:~~attendance marks-10.000000~~ente...~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 6:~~Printed output~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22AG30016;15;15;0;8;10;10;20;5;83;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the number of students: 2~~~~Enter the marks for student 1:~~  Attendence [40]: 20~~  CT [20]: 10~~  Midsem [60]: 30~~  Endsem [100]: 50~~~~Enter the marks for student 2:~~  Attendence [40]: 40~~  CT [20]: 20~~  Midsem [60]: 60~~  Endsem [100]: 100~~~~~~Exp OUT:~~~~Student 1~~  Total marks: 50.00~~  Grade: D~~~~Student 2~~  Total marks: 100.00~~  Grade: EX~~~~ ~~  Mark/s obtained: 15 out of 20~~~~~~Your output:~~enter number of students: enter marks of attendance: enter marks of class test: enter marks of mid sems: enter marks of end sems: grade : D~~enter marks of attendance: enter marks of class test: enter marks of mid sems: enter marks of end sems: grade : EX~~~~~~FAILED: Test Case 2: ~~IN:~~Enter the number of students: 1~~~~Enter the marks for student 1:~~  Attendence [40]: 10~~  CT [20]: 5 ~~  Midsem [60]: 10~~  Endsem [100]: 10~~~~Exp OUT:~~Student 1~~  Total marks: 16.50~~  Grade: F~~~~ ~~  Mark/s obtained: 15 out of 20~~~~~~Your output:~~enter number of students: enter marks of attendance: enter marks of class test: enter marks of mid sems: enter marks of end sems: grade : F~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 8 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 6:~~Printed output~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 83 ############
22AG30036;0;0;0;0;0;0;0;0;0;<PLAG DETECTED - AWARDED 0>~~~~If you have not copied from anywhere,~~Please do not panic.~~Plag is decided by a plag checking program.~~For now continue to do your best.
22BT10007;0;0;0;0;0;0;0;0;0;<PLAG DETECTED - AWARDED 0>~~~~If you have not copied from anywhere,~~Please do not panic.~~Plag is decided by a plag checking program.~~For now continue to do your best.
22BT10027;20;20;0;10;10;10;20;10;100;Good~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 2:~~Loop used for n times~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input marks for each student correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Computed Total Marks~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Grade awarded~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 6:~~Printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
