"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Test_Case_5 (10)";"Test_Case_6 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Code_6 (10)";"Total_Marks (120)";"Comments"
22AE10002;10;10;10;10;10;10;10;10;10;10;10;10;120;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 60 out of 60~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input validated~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Broke n into p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Iterated over possible prime values of p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed result if both p & q are prime~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~Used primeCheck function~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 120 ###########
22AE10022;10;10;10;10;10;10;10;10;10;10;10;10;120;Keep it up~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 60 out of 60~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input validated~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Broke n into p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Iterated over possible prime values of p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed result if both p & q are prime~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~Used primeCheck function~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 120 ###########
22AE10042;10;10;10;10;10;10;10;10;10;10;10;10;120;Keep up the good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 60 out of 60~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input validated~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Broke n into p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Iterated over possible prime values of p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed result if both p & q are prime~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~Used primeCheck function~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 120 ###########
22AE30015;0;0;0;0;0;0;10;0;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~2~~~~Exp OUT:~~-1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 2: ~~IN:~~5~~~~Exp OUT:~~-1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 3: ~~IN:~~4~~~~Exp OUT:~~2, 2~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 4: ~~IN:~~60~~~~Exp OUT:~~7, 53~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 5: ~~IN:~~124~~~~Exp OUT:~~11, 113~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 6: ~~IN:~~550~~~~Exp OUT:~~3, 547~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input validated~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Broke n into p & q~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Iterated over possible prime values of p & q~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed result if both p & q are prime~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Used primeCheck function~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 10 ############
22AG10009;10;10;10;10;10;10;10;10;10;10;10;10;120;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 60 out of 60~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input validated~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Broke n into p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Iterated over possible prime values of p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed result if both p & q are prime~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~Used primeCheck function~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 120 ###########
22AG10029;10;10;10;10;10;10;10;10;10;10;10;10;120;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 60 out of 60~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input validated~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Broke n into p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Iterated over possible prime values of p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed result if both p & q are prime~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~Used primeCheck function~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 120 ###########
22AG10049;0;0;0;0;0;0;10;10;0;0;0;10;30;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~2~~~~Exp OUT:~~-1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~~~~~FAILED: Test Case 2: ~~IN:~~5~~~~Exp OUT:~~-1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~3 is prime number~~5 is prime number~~~~~~FAILED: Test Case 3: ~~IN:~~4~~~~Exp OUT:~~2, 2~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~3 is prime number~~~~~~FAILED: Test Case 4: ~~IN:~~60~~~~Exp OUT:~~7, 53~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~3 is prime number~~5 is prime number~~7 is prime number~~11 is prime number~~13 is prime number~~17 is prime number~~19 is prime number~~23 is prime number~~29 is prime number~~31 is prime number~~37 is prime number~~41 is prime number~~43 is prime number~~47 is prime number~~53 is prime number~~59 is prime number~~~~~~FAILED: Test Case 5: ~~IN:~~124~~~~Exp OUT:~~11, 113~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~3 is prime number~~5 is prime number~~7 is prime number~~11 is prime number~~13 is prime number~~17 is prime number~~19 is prime number~~23 is prime number~~29 is prime number~~31 is prime number~~37 is prime number~~41 is prime number~~43 is prime number~~47 is prime number~~53 is prime number~~59 is prime number~~61 is prime number~~67 is prime number~~71 is prime number~~73 is prime number~~79 is prime number~~83 is prime number~~89 is prime number~~97 is prime number~~101 is prime number~~10...~~~~FAILED: Test Case 6: ~~IN:~~550~~~~Exp OUT:~~3, 547~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~3 is prime number~~5 is prime number~~7 is prime number~~11 is prime number~~13 is prime number~~17 is prime number~~19 is prime number~~23 is prime number~~29 is prime number~~31 is prime number~~37 is prime number~~41 is prime number~~43 is prime number~~47 is prime number~~53 is prime number~~59 is prime number~~61 is prime number~~67 is prime number~~71 is prime number~~73 is prime number~~79 is prime number~~83 is prime number~~89 is prime number~~97 is prime number~~101 is prime number~~10...~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input validated~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Broke n into p & q~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Iterated over possible prime values of p & q~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed result if both p & q are prime~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 6:~~Used primeCheck function~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22AG30016;5;5;0;0;0;0;10;10;0;0;0;10;40;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~2~~~~Exp OUT:~~-1~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~2 is not prime~~~~FAILED: Test Case 2: ~~IN:~~5~~~~Exp OUT:~~-1~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~5 is prime~~~~~~FAILED: Test Case 3: ~~IN:~~4~~~~Exp OUT:~~2, 2~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~4 is not prime~~~~FAILED: Test Case 4: ~~IN:~~60~~~~Exp OUT:~~7, 53~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~60 is not prime~~~~FAILED: Test Case 5: ~~IN:~~124~~~~Exp OUT:~~11, 113~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~124 is not prime~~~~FAILED: Test Case 6: ~~IN:~~550~~~~Exp OUT:~~3, 547~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~550 is not prime~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input validated~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Broke n into p & q~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Iterated over possible prime values of p & q~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed result if both p & q are prime~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 6:~~Used primeCheck function~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
22AG30036;0;0;0;0;0;0;10;10;10;10;10;10;60;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~2~~~~Exp OUT:~~-1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 2: ~~IN:~~5~~~~Exp OUT:~~-1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 3: ~~IN:~~4~~~~Exp OUT:~~2, 2~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 4: ~~IN:~~60~~~~Exp OUT:~~7, 53~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 5: ~~IN:~~124~~~~Exp OUT:~~11, 113~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 6: ~~IN:~~550~~~~Exp OUT:~~3, 547~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input validated~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Broke n into p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Iterated over possible prime values of p & q~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed result if both p & q are prime~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~Used primeCheck function~~  Mark/s obtained: 10 out of 10~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22BT10007;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 120 out of 120~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
