"Student_Name";"Test_Case_1 (5)";"Test_Case_2 (5)";"Test_Case_3 (5)";"Test_Case_4 (5)";"Test_Case_5 (5)";"Test_Case_6 (5)";"Test_Case_7 (5)";"Test_Case_8 (5)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Code_6 (10)";"Code_7 (-5)";"Total_Marks (100)";"Comments"
24NA10001;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: All test cases - Marks Lost: 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: All OTHER code cases - Marks Lost: 50 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 10/100 ##########
24NA10002;0;0;0;0;0;0;0;0;10;10;10;10;10;10;-5;55;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Negative Code Case 7:~~Comments missing, logic hard to understand~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 55/100 ##########
24NA10003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10004;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: All test cases - Marks Lost: 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: All OTHER code cases - Marks Lost: 50 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 10/100 ##########
24NA10005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10006;0;0;0;0;0;0;0;0;10;5;10;10;0;0;0;35;Input should be taken as String not INT~~~~========= TEST CASES =========~~~~~~FAILED: All test cases - Marks Lost: 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 35/100 ##########
24NA10007;0;0;0;0;0;0;0;0;10;5;0;10;10;0;0;35;Input should be taken as String not INT~~~~========= TEST CASES =========~~~~~~FAILED: All test cases - Marks Lost: 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 35/100 ##########
24NA10008;0;0;0;0;0;0;0;0;10;5;0;10;0;0;0;25;Input should be taken as String not INT~~~~========= TEST CASES =========~~~~~~FAILED: All test cases - Marks Lost: 40 out of 40~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 25/100 ##########
24NA10009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
24NA10010;0;0;0;0;0;0;0;0;10;5;0;0;0;0;0;15;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Main method defined~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Input taken~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Checked for invalid character in Input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Printed Haystack and needele~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed total number of meathces~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Printed the longest repeating match count~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 15/100 ##########
