"Student_Name";"Test_Case_1 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Code_6 (10)";"Code_7 (10)";"Code_8 (20)";"Code_9 (10)";"Total_Marks (110)";"Comments"
22AE10002;3;10;1;10;1;1;6;10;19;5;66;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:%d~~100~~This is a Test Case~~wahahahahahah 1234 #$%^~~~~Desired Output:~~### Part (a) START ###~~Input is a integer: 100~~### Part (a) END ###~~~~### Part (b) START ###~~4 This is a~~### Part (b) END ###~~~~### Part (c) START ###~~Number of digits: 4~~Number of special characters: 5~~Number of words: 8~~Number of vowels: 11~~Number of consonants: 19~~Number of sentences: 1~~### Part (c) END ###~~ ~~  Mark/s obtained: 3 out of 10~~~~~~Your output:~~In first line, please enter d-for integer, ld-for long integer, s-for string and so on. Basically you have to type the data type short name.~~~~Enter data type short name you want to enter: Enter a string: Numeric characters: 0~~Special printable characters: 0~~Words: 1~~Vowels: 0~~Consonants: 0~~Sentences: 0~~x: 2str1:                   ~~str2:                        ǈf�ǎ~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 1 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 1 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 1 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 6 out of 10~~~~~~PASSED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 19 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 66/110 ##########
22AE10022;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 110 out of 110~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22AE10042;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 110 out of 110~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22AE30015;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 110 out of 110~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22AG10009;10;10;10;10;10;0;0;0;0;0;50;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 10 out of 10~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 50/110 ##########
22AG10029;8;10;10;10;10;1;4;10;10;6;79;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:%d~~100~~This is a Test Case~~wahahahahahah 1234 #$%^~~~~Desired Output:~~### Part (a) START ###~~Input is a integer: 100~~### Part (a) END ###~~~~### Part (b) START ###~~4 This is a~~### Part (b) END ###~~~~### Part (c) START ###~~Number of digits: 4~~Number of special characters: 5~~Number of words: 8~~Number of vowels: 11~~Number of consonants: 19~~Number of sentences: 1~~### Part (c) END ###~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~[ERROR: RUNTIMEOUT, It may be due one of the following:~~Waits for more user input than expected/defined in the  or~~Code throws a math exception during runtime or~~Runs into an infinite loop or~~Waits for more user input than expected or~~or something else completely, we will never know...~~]~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 1 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 4 out of 10~~~~~~PASSED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 6 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 79/110 ##########
22AG10049;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 110 out of 110~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/110 ##########
22AG30016;0;10;10;10;10;0;0;4;12;10;66;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 4 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 12 out of 20~~~~~~PASSED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 66/110 ##########
22AG30036;0;10;0;10;2;0;0;3;12;10;47;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 3 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 12 out of 20~~~~~~PASSED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 47/110 ##########
22BT10007;0;10;0;6;10;0;0;2;12;10;50;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:%d~~100~~This is a Test Case~~wahahahahahah 1234 #$%^~~~~Desired Output:~~### Part (a) START ###~~Input is a integer: 100~~### Part (a) END ###~~~~### Part (b) START ###~~4 This is a~~### Part (b) END ###~~~~### Part (c) START ###~~Number of digits: 4~~Number of special characters: 5~~Number of words: 8~~Number of vowels: 11~~Number of consonants: 19~~Number of sentences: 1~~### Part (c) END ###~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~%d~~Numeric charecters = 0~~Words = 1~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken inputs~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~(a) taken input for format specifier for eg: %d~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~(a) taken input from user~~  Mark/s obtained: 6 out of 10~~~~~~PASSED: Code Case 4:~~(a) printed output to user~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~(b) taken input using %19s %29s~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~(b) printed output to user~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 7:~~(c) taken input using %[^\n]%*c or %[^\n]s~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 8:~~(c) computed frequency of digits, special characters, vowels, consonants, sentences~~  Mark/s obtained: 12 out of 20~~~~~~PASSED: Code Case 9:~~(c) printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 50/110 ##########
