"Student_Name";"Test_Case_1 (20)";"Test_Case_2 (20)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Code_6 (10)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;0;0;10;10;5;5;5;5;40;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~menu shown~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
22AG10021;0;0;0;10;0;0;0;5;15;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~input taken~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 2:~~menu shown~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 15 ############
22CS10049;0;0;10;10;10;10;10;10;60;Testcase didn't passed~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~A = 1 2 3 4 5, B = 2 3 4 5~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is present in set A~~6 is NOT present in set B~~Union: 1 2 3 4 5~~Intersection: 2 3 4 5~~Difference: 1~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Test Case 2: ~~IN:~~A = 1 2 3, B = 4 5 6~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is NOT present in set A~~6 is present in set B~~Union: 1 2 3 4 5 6~~Intersection: Null~~Difference: 1 2 ~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~menu shown~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~tried to search~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22MT10042;0;0;5;0;0;0;0;0;5;no logic~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~input taken~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 5 ############
22CS10009;0;0;0;0;10;5;0;0;15;Code didn't compiled but marks are given for efforts~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~input taken~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~menu shown~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 15 ############
22IM30014;0;0;10;10;5;5;0;10;40;Output is not correct~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~A = 1 2 3 4 5, B = 2 3 4 5~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is present in set A~~6 is NOT present in set B~~Union: 1 2 3 4 5~~Intersection: 2 3 4 5~~Difference: 1~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Test Case 2: ~~IN:~~A = 1 2 3, B = 4 5 6~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is NOT present in set A~~6 is present in set B~~Union: 1 2 3 4 5 6~~Intersection: Null~~Difference: 1 2 ~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~menu shown~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
22EE30027;10;5;10;10;10;0;10;3;58;Testcases didn't run~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~A = 1 2 3 4 5, B = 2 3 4 5~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is present in set A~~6 is NOT present in set B~~Union: 1 2 3 4 5~~Intersection: 2 3 4 5~~Difference: 1~~~~ ~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Test Case 2: ~~IN:~~A = 1 2 3, B = 4 5 6~~1 5~~2 6~~3~~4~~5~~0~~~~Exp OUT:~~5 is NOT present in set A~~6 is present in set B~~Union: 1 2 3 4 5 6~~Intersection: Null~~Difference: 1 2 ~~~~ ~~  Mark/s obtained: 5 out of 20~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~menu shown~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~tried to implement build set~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~tried to search~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 5:~~tried union and intersection and difference~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 6:~~infinite loop created~~  Mark/s obtained: 3 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 58 ############
22AG30028;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
