"Student_Name";"Test_Case_1 (20)";"Test_Case_2 (20)";"Code_1 (20)";"Code_2 (10)";"Code_3 (20)";"Code_4 (10)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;20;20;20;10;10;10;90;========= TEST CASES =========~~~~~~Your output:~~Enter coordinates of reactangle~~ Enter coordinates of bottom left corner:Enter coordinates of top right corner :Area is 4~~~~~~Your output:~~Enter coordinates of reactangle~~ Enter coordinates of bottom left corner:Enter coordinates of top right corner :Area is 9~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 10 out of 20~~~~~~PASSED: Code Case 4:~~Printed the area~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22AG10021;0;0;10;5;10;5;30;========= TEST CASES =========~~~~~~Your output:~~Rect: Area: -1222714728~~~~FAILED: Test Case 1: ~~IN:~~Rect: (0 0) (2 2)~~~~Exp OUT:~~Area: 4~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~Your output:~~Rect: Area: 1149608576~~~~FAILED: Test Case 2: ~~IN:~~Rect: (0 0) (3 3)~~~~Exp OUT:~~Area: 9~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Defined structure~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 2:~~Taken input~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 4:~~Printed the area~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22CS10049;20;20;20;10;20;10;100;Keep up the good work~~~~========= TEST CASES =========~~~~~~Your output:~~Rect : Area: 4.000000~~~~Your output:~~Rect : Area: 9.000000~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Printed the area~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MT10042;20;20;20;10;20;10;100;Keep it up~~~~========= TEST CASES =========~~~~~~Your output:~~Enter the abcissa of top left corner = Enter the ordinate of top left corner = Enter the abcissa of the bottom right corner = Enter the ordinate of the bottom right corner = The area of the axis parallel rectangle = 4~~~~Your output:~~Enter the abcissa of top left corner = Enter the ordinate of top left corner = Enter the abcissa of the bottom right corner = Enter the ordinate of the bottom right corner = The area of the axis parallel rectangle = 9~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Printed the area~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS10009;20;20;20;10;20;10;100;Nice work~~~~========= TEST CASES =========~~~~~~Your output:~~Rect: Area:4~~~~~~Your output:~~Rect: Area:9~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Printed the area~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22IM30014;20;20;20;10;20;10;100;Keep it up~~~~========= TEST CASES =========~~~~~~Your output:~~Area : 4.00 ~~~~Your output:~~Area : 9.00 ~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Printed the area~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EE30027;20;20;20;10;20;10;100;Clean Code~~~~========= TEST CASES =========~~~~~~Your output:~~Area: 4~~~~~~Your output:~~Area: 9~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Printed the area~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG30028;0;0;10;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Defined structure~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 2:~~Taken input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 4:~~Printed the area~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 10 ############
22MI10032;20;20;20;10;10;10;90;========= TEST CASES =========~~~~~~Your output:~~Enter coordinates of top left corner of rectangle:Enter coordinates of bottom right corner of rectangle:Area:4~~~~~~Your output:~~Enter coordinates of top left corner of rectangle:Enter coordinates of bottom right corner of rectangle:Area:9~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 10 out of 20~~~~~~PASSED: Code Case 4:~~Printed the area~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22EE10008;20;20;20;10;20;10;100;Clean Code~~~~========= TEST CASES =========~~~~~~Your output:~~Top Left X : Top Left Y : Bottom Right X : Bottom Right Y : Area : 4.000000~~~~~~Your output:~~Top Left X : Top Left Y : Bottom Right X : Bottom Right Y : Area : 9.000000~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Printed the area~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS30008;20;20;20;10;10;10;90;========= TEST CASES =========~~~~~~Your output:~~Rect: Area : 4~~~~Your output:~~Rect: Area : 9~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 10 out of 20~~~~~~PASSED: Code Case 4:~~Printed the area~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22IE10007;0;0;10;5;10;5;30;========= TEST CASES =========~~~~~~Your output:~~Rect :Area: -272012776~~~~FAILED: Test Case 1: ~~IN:~~Rect: (0 0) (2 2)~~~~Exp OUT:~~Area: 4~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~Your output:~~Rect :Area: -894118712~~~~FAILED: Test Case 2: ~~IN:~~Rect: (0 0) (3 3)~~~~Exp OUT:~~Area: 9~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Defined structure~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 2:~~Taken input~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 4:~~Printed the area~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22MA10021;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EE30007;0;0;10;5;10;0;25;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Defined structure~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 2:~~Taken input~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 4:~~Printed the area~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 25 ############
22AG10041;20;20;20;10;20;10;100;Keep up the good work~~~~========= TEST CASES =========~~~~~~Your output:~~enter coordinates of top left corner(x1,y1).~~x1:y1:enter coordinates of bottom right corner(x2,y2).~~x2:y2:area of rectangle is 4~~~~~~Your output:~~enter coordinates of top left corner(x1,y1).~~x1:y1:enter coordinates of bottom right corner(x2,y2).~~x2:y2:area of rectangle is 9~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Printed the area~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22ME30004;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MA10059;20;20;20;10;20;10;100;Good~~~~========= TEST CASES =========~~~~~~Your output:~~Enter the coordinate of bottom left corner  :~~Enter the coordinate of top right corner  :~~The area of the axis parallel rectangle is 4 ~~~~Your output:~~Enter the coordinate of bottom left corner  :~~Enter the coordinate of top right corner  :~~The area of the axis parallel rectangle is 9 ~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Defined structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 2:~~Taken input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Printed the area~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CE10065;0;0;10;5;10;5;30;========= TEST CASES =========~~~~~~Your output:~~Rect :Area:345026544~~~~FAILED: Test Case 1: ~~IN:~~Rect: (0 0) (2 2)~~~~Exp OUT:~~Area: 4~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~Your output:~~Rect :Area:-1243164216~~~~FAILED: Test Case 2: ~~IN:~~Rect: (0 0) (3 3)~~~~Exp OUT:~~Area: 9~~~~ ~~  Mark/s obtained: 0 out of 20~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Defined structure~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 2:~~Taken input~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Written an external function to compute the area by passing structure~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 4:~~Printed the area~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
22EX10034;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
