"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Test_Case_5 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (20)";"Code_4 (10)";"Code_5 (10)";"Total_Marks (110)";"Comments"
22AE10022;10;10;10;10;10;10;10;20;10;10;110;Keep it up~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 110 ###########
22AE10042;5;5;5;5;5;10;10;20;10;10;85;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the Integer:1234~~~~~~~~Exp OUT:~~Least significant digits to most significant digits: ~~1234, 234, 34, 4~~~~Reverse number = 4321~~Difference between Reverse and original number = 3087~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 2: ~~IN:~~Enter the Integer:5677~~~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 5, 56, 567, 5677~~~~Reverse number = 7765~~Difference between Reverse and original number = 2088~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Enter the Integer :Reverse number = 7765~~Difference between Reverse and original number = 2088~~~~Most significant digits to least significant digits:~~~~~~FAILED: Test Case 3: ~~IN:~~Enter the Integer:9~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 9~~Reverse number = 9~~Difference between Reverse and original number = 0~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Enter the Integer :Reverse number = 9~~Difference between Reverse and original number = 0~~~~Most significant digits to least significant digits:~~~~~~FAILED: Test Case 4: ~~IN:~~Enter the Integer:-38~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 38, 8~~Reverse number = -83~~Difference between Reverse and original number = 45~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 5: ~~IN:~~Enter the Integer: 90040~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 90040, 40, 40, 40, 0~~~~Reverse number = 4009~~Difference between Reverse and original number = 86031~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 85 ############
22AG10029;8;8;8;8;8;10;10;20;10;10;100;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the Integer:1234~~~~~~~~Exp OUT:~~Least significant digits to most significant digits: ~~1234, 234, 34, 4~~~~Reverse number = 4321~~Difference between Reverse and original number = 3087~~~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~least significant to most significant digits is~~ 1234 123 12 1  ~~ reverse no is 1246421 ~~ difference between them is 1245187~~~~FAILED: Test Case 2: ~~IN:~~Enter the Integer:5677~~~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 5, 56, 567, 5677~~~~Reverse number = 7765~~Difference between Reverse and original number = 2088~~~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~most significant to least significant digits is~~5 56 567 5677  ~~ reverse no is 5734265 ~~ difference between them is 5728588~~~~FAILED: Test Case 3: ~~IN:~~Enter the Integer:9~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 9~~Reverse number = 9~~Difference between Reverse and original number = 0~~~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 4: ~~IN:~~Enter the Integer:-38~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 38, 8~~Reverse number = -83~~Difference between Reverse and original number = 45~~~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 5: ~~IN:~~Enter the Integer: 90040~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 90040, 40, 40, 40, 0~~~~Reverse number = 4009~~Difference between Reverse and original number = 86031~~~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~least significant to most significant digits is~~ 90040 9004 900 90 9  ~~ reverse no is 909494909 ~~ difference between them is 909404869~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG30016;10;10;10;5;5;10;10;20;10;10;100;========= TEST CASES =========~~~~~~FAILED: Test Case 4: ~~IN:~~Enter the Integer:-38~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 38, 8~~Reverse number = -83~~Difference between Reverse and original number = 45~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~[Code throws a math exception during runtime]~~~~FAILED: Test Case 5: ~~IN:~~Enter the Integer: 90040~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 90040, 40, 40, 40, 0~~~~Reverse number = 4009~~Difference between Reverse and original number = 86031~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter a integer~~absolute difference between numbers is 86031~~90040	40	40	40	~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22BT10007;0;0;0;0;0;0;0;0;0;0;0;<PLAG DETECTED - AWARDED 0>~~~~If you have not copied from anywhere,~~Please do not panic.~~Plag is decided by a plag checking program.~~For now continue to do your best.
22BT30010;0;0;0;0;0;10;10;0;0;0;20;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 20 ############
22CE10013;8;5;10;8;5;10;10;20;10;10;96;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the Integer:1234~~~~~~~~Exp OUT:~~Least significant digits to most significant digits: ~~1234, 234, 34, 4~~~~Reverse number = 4321~~Difference between Reverse and original number = 3087~~~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~enter the value of integer:~~4~~43~~432~~4321~~reverse number = 4321 ~~ difference between reverse and original number = 4321 ~~~~FAILED: Test Case 2: ~~IN:~~Enter the Integer:5677~~~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 5, 56, 567, 5677~~~~Reverse number = 7765~~Difference between Reverse and original number = 2088~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter the value of integer:~~7777767765reverse number = 7765 ~~ difference between reverse and original number = 7765 ~~~~FAILED: Test Case 4: ~~IN:~~Enter the Integer:-38~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 38, 8~~Reverse number = -83~~Difference between Reverse and original number = 45~~~~ ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~enter the value of integer:~~-8~~-83~~reverse number = -83 ~~ difference between reverse and original number = 45 ~~~~FAILED: Test Case 5: ~~IN:~~Enter the Integer: 90040~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 90040, 40, 40, 40, 0~~~~Reverse number = 4009~~Difference between Reverse and original number = 86031~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter the value of integer:~~0~~4~~40~~400~~4009~~reverse number = 4009 ~~ difference between reverse and original number = 4009 ~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 96 ############
22CE30024;0;0;0;0;0;10;10;20;10;10;60;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22CH10012;0;0;0;0;0;10;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~Enter the Integer:1234~~~~~~~~Exp OUT:~~Least significant digits to most significant digits: ~~1234, 234, 34, 4~~~~Reverse number = 4321~~Difference between Reverse and original number = 3087~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the Integer:~~~~~~FAILED: Test Case 2: ~~IN:~~Enter the Integer:5677~~~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 5, 56, 567, 5677~~~~Reverse number = 7765~~Difference between Reverse and original number = 2088~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the Integer:~~~~~~FAILED: Test Case 3: ~~IN:~~Enter the Integer:9~~~~~~Exp OUT:~~Most significant digits to least significant digits:~~ 9~~Reverse number = 9~~Difference between Reverse and original number = 0~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the Integer:~~~~~~FAILED: Test Case 4: ~~IN:~~Enter the Integer:-38~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 38, 8~~Reverse number = -83~~Difference between Reverse and original number = 45~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the Integer:~~~~~~FAILED: Test Case 5: ~~IN:~~Enter the Integer: 90040~~~~~~Exp OUT:~~Least significant digits to most significant digits:~~ 90040, 40, 40, 40, 0~~~~Reverse number = 4009~~Difference between Reverse and original number = 86031~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the Integer:~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 10 ############
22CH10052;0;0;0;0;0;10;10;20;10;10;60;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 50~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Read an integer~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Check for odd or even~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Printed the sub-integers from most significant to least significant if odd and vice versa~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 4:~~Computed the reverse of the digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed the absolute difference between them~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
