"Student_Name";"Test_Case_1 (25)";"Test_Case_2 (25)";"Code_1 (10)";"Code_2 (20)";"Code_3 (1)";"Code_4 (10)";"Total_Marks (100)";"Comments"
23CH30007;25;25;10;20;10;10;100;Clean Code~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23EE10036;25;25;10;20;10;10;100;Clean Code~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23ME30020;25;25;10;20;10;10;100;Keep it up~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23PH10013;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~########## TOTAL MARKS OBTAINED = 0/100 ##########
23MA10036;25;25;10;20;10;10;100;Keep it up~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23EC30056;25;25;10;20;10;10;100;Keep it up~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23CH10066;25;25;10;20;10;10;100;Perfect~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23MF10042;25;25;10;20;10;10;100;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23CS30009;25;25;10;20;10;10;100;Clean Code~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23MI10033;25;25;10;20;10;10;100;Good~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23EE10056;25;25;10;20;10;10;100;Clean Code~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23MA10016;25;25;10;20;10;10;100;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23IE10031;25;25;10;20;10;10;100;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23CS30049;25;25;10;20;10;10;100;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23CS30029;25;25;10;20;10;10;100;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23EC10046;25;25;10;20;10;10;100;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23NA10036;0;0;10;10;5;6;31;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 5~~Desired Output:~~~~1~~23~~456~~7812~~34567~~~~Your output:~~Enter the value of scale-factor(s) between [1,6]:~~Enter the value of number of lines(n) between [1,10]:~~1 ~~2 3 4 5 6 7 8 1 2 ~~3 4 5 6 7 8 1 2 3 ~~4 5 6 7 8 1 2 3 4 ~~5 6 7 8 1 2 3 4 5 ~~6 7 8 ~~~~  Mark/s obtained: 0 out of 25~~~~~~FAILED: Test Case 2: ~~INPUT:2 10~~Desired Output:~~~~1~~23~~451~~2345~~12345~~123451~~2345123~~45123451~~234512345~~1234512345~~~~Your output:~~Enter the value of scale-factor(s) between [1,6]:~~Enter the value of number of lines(n) between [1,10]:~~1 ~~2 3 4 5 1 2 ~~3 4 5 1 2 3 ~~4 5 1 2 3 4 ~~5 1 2 3 4 5 ~~1 2 3 4 5 1 2 3 4 5 1 2 3 4 5 1 2 3 4 5 1 2 3 4 5 ~~~~  Mark/s obtained: 0 out of 25~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input has been taken correctly~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Logic is correct and gives expected output~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Code Case 3:~~Have used nested loops~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 4:~~Output Printed~~  Mark/s obtained: 6 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 31/100 ##########
23CS10071;25;25;10;20;10;10;100;Perfect~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23NA10017;25;25;10;20;10;10;100;Keep it up~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23CE10005;25;25;10;20;10;10;100;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
23EC10006;25;25;10;20;10;10;100;Nice work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 50 out of 50~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 50 out of 50~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
