"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Code_6 (10)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;0;0;0;0;2;5;4;0;0;0;11;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~1~~~~Exp OUT:~~Invalid Input~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~300~~~~Exp OUT:~~6 28~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~-100~~~~Exp OUT:~~Invalid input~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~500~~~~Exp OUT:~~6 28 49~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Input Taken~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 2:~~Loop for factor~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Sum of factors stored~~  Mark/s obtained: 4 out of 10~~~~~~FAILED: Code Case 4:~~Checked for equality~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Loop till the input number~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Checked for invalid input~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 11 ############
22AG10021;0;0;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CS10049;0;0;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MT10042;0;0;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CS10009;2;2;2;2;2;5;4;2;2;2;25;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~1~~~~Exp OUT:~~Invalid Input~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~300~~~~Exp OUT:~~6 28~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~-100~~~~Exp OUT:~~Invalid input~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~500~~~~Exp OUT:~~6 28 49~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Input Taken~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 2:~~Loop for factor~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Sum of factors stored~~  Mark/s obtained: 4 out of 10~~~~~~FAILED: Code Case 4:~~Checked for equality~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 5:~~Loop till the input number~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 6:~~Checked for invalid input~~  Mark/s obtained: 2 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 25 ############
22IM30014;2;2;2;2;2;5;4;2;2;2;25;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~1~~~~Exp OUT:~~Invalid Input~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~300~~~~Exp OUT:~~6 28~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~-100~~~~Exp OUT:~~Invalid input~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~500~~~~Exp OUT:~~6 28 49~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Input Taken~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 2:~~Loop for factor~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Sum of factors stored~~  Mark/s obtained: 4 out of 10~~~~~~FAILED: Code Case 4:~~Checked for equality~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 5:~~Loop till the input number~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 6:~~Checked for invalid input~~  Mark/s obtained: 2 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 25 ############
22EE30027;2;2;2;2;2;5;4;2;2;2;25;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~1~~~~Exp OUT:~~Invalid Input~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~300~~~~Exp OUT:~~6 28~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~-100~~~~Exp OUT:~~Invalid input~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~500~~~~Exp OUT:~~6 28 49~~~~ ~~  Mark/s obtained: 2 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Input Taken~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 2:~~Loop for factor~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~Sum of factors stored~~  Mark/s obtained: 4 out of 10~~~~~~FAILED: Code Case 4:~~Checked for equality~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 5:~~Loop till the input number~~  Mark/s obtained: 2 out of 10~~~~~~FAILED: Code Case 6:~~Checked for invalid input~~  Mark/s obtained: 2 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 25 ############
22AG30028;0;0;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
