"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (20)";"Code_3 (30)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;10;10;10;10;10;20;30;100;Keep up the good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG10021;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CS10049;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MT10042;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CS10009;10;10;10;10;10;20;30;100;Great Job~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22IM30014;10;10;10;10;10;20;30;100;Keep up the good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EE30027;10;10;10;10;10;20;30;100;Good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG30028;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MI10032;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EE10008;10;10;10;10;10;20;30;100;Great Job~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS30008;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22IE10007;10;10;10;10;10;20;30;100;Good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MA10021;0;0;0;0;10;20;10;40;Incorrect output for test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~3~~~~Exp OUT:~~1~~ 2  3~~ 4  5  6~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~IN:~~4~~~~Exp OUT:~~1~~ 2  3~~ 4  5  6~~ 7  8  9 10~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~IN:~~5~~~~Exp OUT:~~1~~ 2  3~~ 4  5  6~~ 7  8  9 10~~11 12 13 14 15~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~IN:~~6~~~~Exp OUT:~~ 1~~ 2  3~~ 4  5  6~~ 7  8  9 10~~11 12 13 14 15~~16 17 18 19 20 2~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 10 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
