"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (5)";"Code_2 (10)";"Code_3 (5)";"Code_4 (10)";"Code_5 (15)";"Code_6 (10)";"Code_7 (5)";"Total_Marks (100)";"Comments"
22CS30036;8;10;8;10;5;10;5;10;15;10;5;96;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 ~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996~~1995~~~~Desired Output:~~~~Deleted Record: 21CS91R01 CS 12/06/1994~~Deleted Record: 19CS91R08 CS 08/08/1994~~m = 2, n - m = 3~~Remaining Records:~~19CS91R05 CS 26/01/1995~~22CS91R01 CS 11/01/1996~~20CS91R01 CS 01/01/1996 ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~~~~~FAILED: Test Case 3: ~~INPUT:5 ~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996~~1997~~~~Desired Output:~~~~Deleted Record: 19CS91R05 CS 26/01/1995 ~~Deleted Record: 21CS91R01 CS 12/06/1994 ~~Deleted Record: 22CS91R01 CS 11/01/1996 ~~Deleted Record: 19CS91R08 CS 08/08/1994  ~~Deleted Record: 20CS91R01 CS 01/01/1996  ~~m = 5, n - m = 0~~Remaining Records:~~No records remaining ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 96/100 ##########
22ME10091;5;5;5;10;5;10;5;10;15;5;5;80;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 ~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996~~1995~~~~Desired Output:~~~~Deleted Record: 21CS91R01 CS 12/06/1994~~Deleted Record: 19CS91R08 CS 08/08/1994~~m = 2, n - m = 3~~Remaining Records:~~19CS91R05 CS 26/01/1995~~22CS91R01 CS 11/01/1996~~20CS91R01 CS 01/01/1996 ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~~~~~FAILED: Test Case 2: ~~INPUT:5 ~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996~~1994~~~~Desired Output:~~~~No records deleted~~m = 0, n - m = 5~~Remaining Records:~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996 ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~~~~~FAILED: Test Case 3: ~~INPUT:5 ~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996~~1997~~~~Desired Output:~~~~Deleted Record: 19CS91R05 CS 26/01/1995 ~~Deleted Record: 21CS91R01 CS 12/06/1994 ~~Deleted Record: 22CS91R01 CS 11/01/1996 ~~Deleted Record: 19CS91R08 CS 08/08/1994  ~~Deleted Record: 20CS91R01 CS 01/01/1996  ~~m = 5, n - m = 0~~Remaining Records:~~No records remaining ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 6:~~Reallocated the deleted memory~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 80/100 ##########
22EC30015;10;10;10;10;5;10;5;10;15;10;5;100;Great Job~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22MA10029;10;10;10;10;5;10;5;10;15;10;5;100;Good work~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22EE10056;10;10;10;0;5;10;0;5;15;10;5;80;The input was not taken in the same format as given in the test case with spaces and slashes~~This would have caused you to get 0 in the test cases. I had to recheck them in the way you have taken the input.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 4: ~~INPUT:101~~~~Desired Output:~~~~Invalid value of N ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter no of records to be stored:Enter Roll no of 1th student:~~Enter branch of 1th student:~~Enter dob of 1th student:~~Enter Roll no of 2th student:~~Enter branch of 2th student:~~Enter dob of 2th student:~~Enter Roll no of 3th student:~~Enter branch of 3th student:~~Enter dob of 3th student:~~Enter Roll no of 4th student:~~Enter branch of 4th student:~~Enter dob of 4th student:~~Enter Roll no of 5th student:~~Enter branch of 5th student:~~Enter dob of 5th student:~~Enter Roll no of 6th studen...~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 3:~~Used a different structure to store DOB~~  Mark/s obtained: 0 out of 5~~~~~~FAILED: Code Case 4:~~Read n records from the user and Year value~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 80/100 ##########
22NA10049;10;10;10;10;5;10;0;10;15;5;5;90;The input was not taken in the same format as given in the test case with spaces and slashes~~This would have caused you to get 0 in the test cases. I had to recheck them in the way you have taken the input.~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 3:~~Used a different structure to store DOB~~  Mark/s obtained: 0 out of 5~~~~~~FAILED: Code Case 6:~~Reallocated the deleted memory~~  Mark/s obtained: 5 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 90/100 ##########
22EC30055;10;10;10;10;5;10;5;10;15;10;5;100;Your code had a small mistake, that led to compilation error, making you lose 40 marks, I fixed it and rechecked  your code manually.~~~~========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~PASSED: All code cases - Marks : 60 out of 60~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 100/100 #########
22MI10040;10;10;10;10;5;10;5;10;15;0;5;90;========= TEST CASES =========~~~~PASSED: All test cases - Marks : 40 out of 40~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 6:~~Reallocated the deleted memory~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 90/100 ##########
22HS10038;8;5;8;10;5;10;0;10;15;0;5;76;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 ~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996~~1995~~~~Desired Output:~~~~Deleted Record: 21CS91R01 CS 12/06/1994~~Deleted Record: 19CS91R08 CS 08/08/1994~~m = 2, n - m = 3~~Remaining Records:~~19CS91R05 CS 26/01/1995~~22CS91R01 CS 11/01/1996~~20CS91R01 CS 01/01/1996 ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~Deleted Record 21CS91R01 CS 12/6/1994~~Deleted Record 19CS91R08 CS 8/8/1994~~Deleted Record  ý¦Ö3 · 0/11993424/0~~Deleted Record  ý¦Ö3 · 0/11993424/0~~Remaining records ~~~~~~FAILED: Test Case 2: ~~INPUT:5 ~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996~~1994~~~~Desired Output:~~~~No records deleted~~m = 0, n - m = 5~~Remaining Records:~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996 ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~Remaining records ~~~~~~FAILED: Test Case 3: ~~INPUT:5 ~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996~~1997~~~~Desired Output:~~~~Deleted Record: 19CS91R05 CS 26/01/1995 ~~Deleted Record: 21CS91R01 CS 12/06/1994 ~~Deleted Record: 22CS91R01 CS 11/01/1996 ~~Deleted Record: 19CS91R08 CS 08/08/1994  ~~Deleted Record: 20CS91R01 CS 01/01/1996  ~~m = 5, n - m = 0~~Remaining Records:~~No records remaining ~~  Mark/s obtained: 8 out of 10~~~~~~Your output:~~Deleted Record 19CS91R05 CS 26/1/1995~~Deleted Record 22CS91R01 CS 11/1/1996~~Deleted Record 20CS91R01 CS 1/1/1996~~Deleted Record Â¼œÃø5 ¡ 0/10551632/0~~Deleted Record Â¼œÃø5 ¡ 0/10551632/0~~Remaining records ~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 3:~~Used a different structure to store DOB~~  Mark/s obtained: 0 out of 5~~~~~~FAILED: Code Case 6:~~Reallocated the deleted memory~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 76/100 ##########
22ME30069;5;5;5;10;2;10;5;10;15;10;5;82;Your allocation code has an error, how do you expect to store a structure in the size of an int?~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~INPUT:5 ~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996~~1995~~~~Desired Output:~~~~Deleted Record: 21CS91R01 CS 12/06/1994~~Deleted Record: 19CS91R08 CS 08/08/1994~~m = 2, n - m = 3~~Remaining Records:~~19CS91R05 CS 26/01/1995~~22CS91R01 CS 11/01/1996~~20CS91R01 CS 01/01/1996 ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~~~~~FAILED: Test Case 2: ~~INPUT:5 ~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996~~1994~~~~Desired Output:~~~~No records deleted~~m = 0, n - m = 5~~Remaining Records:~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996 ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~~~~~FAILED: Test Case 3: ~~INPUT:5 ~~19CS91R05 CS 26/01/1995~~21CS91R01 CS 12/06/1994~~22CS91R01 CS 11/01/1996~~19CS91R08 CS 08/08/1994~~20CS91R01 CS 01/01/1996~~1997~~~~Desired Output:~~~~Deleted Record: 19CS91R05 CS 26/01/1995 ~~Deleted Record: 21CS91R01 CS 12/06/1994 ~~Deleted Record: 22CS91R01 CS 11/01/1996 ~~Deleted Record: 19CS91R08 CS 08/08/1994  ~~Deleted Record: 20CS91R01 CS 01/01/1996  ~~m = 5, n - m = 0~~Remaining Records:~~No records remaining ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Allocated memory using malloc/calloc~~  Mark/s obtained: 2 out of 5~~~~~~==============================~~~~######### TOTAL MARKS OBTAINED = 82/100 ##########
